"from","to","freq","duration_s"
"1015","1013",269,3222.97026022305
"1015","1014",122,2262.48360655738
"1015","1015",1523,6193.51936966513
"1015","1016",182,4612.48351648352
"1015","1017",142,2101.60563380282
"1015","1018",40,3991.05
"1015","1019",59,3669.77966101695
"1015","1020",2,35154.5
"1015","1021",20,2027.6
"1015","1022",17,2767.76470588235
"1015","1023",3,9134
"1015","1024",1,2448
"1015","1025",3,4511.33333333333
"1015","1026",1,3233
"1015","1027",0,0
"1015","1028",2,2483
"1015","1029",0,0
"1015","1030",0,0
"1015","1031",2,4367.5
"1015","1032",0,0
"1015","1033",1,8639
"1015","1034",1,4630
"1015","1035",3,3121
"1015","1036",6,4022.33333333333
"1015","1037",1,3319
"1015","1038",2,10483.5
"1015","1039",4,22963.5
"1015","1040",1,2372
"1015","1041",7,3264.57142857143
"1015","1042",0,0
"1015","1043",2,2057
"1015","1044",4,2043.25
"1015","1045",67,4864.28358208955
"1015","1046",10,2682.8
"1015","1047",28,2361.64285714286
"1015","1048",31,2879.32258064516
"1015","1049",126,1789.36507936508
"1015","1050",4,74346.5
"1015","1061",23,3759.5652173913
"1016","1000",591,1918.40778341794
"1016","1001",662,2400.54380664653
"1016","1002",89,3832.75280898876
"1016","1003",226,1926.51327433628
"1016","1004",45,10415.6888888889
"1016","1005",149,1825.24832214765
"1016","1006",170,3660.95882352941
"1016","1007",56,4620.53571428571
"1016","1008",40,5800.05
"1016","1009",133,2670.36842105263
"1016","1010",994,1784.79376257545
"1016","1011",174,3797.80459770115
"1016","1012",221,4131.77828054299
"1016","1013",250,2370.06
"1016","1014",54,3079.35185185185
"1016","1015",164,2185.87804878049
"1016","1016",839,6024.14302741359
"1016","1017",176,6053.82954545455
"1016","1018",119,1459.26050420168
"1016","1019",206,3460.78640776699
"1016","1020",13,2375.76923076923
"1016","1021",39,5144.71794871795
"1016","1022",10,4675.2
"1016","1023",11,1774.90909090909
"1016","1024",21,1774.85714285714
"1016","1025",13,9713.92307692308
"1016","1026",13,1969.30769230769
"1016","1027",3,2706.66666666667
"1016","1028",3,12670.6666666667
"1016","1029",4,17473.5
"1016","1030",4,15317.25
"1016","1031",53,1744.11320754717
"1016","1032",4,2997
"1016","1033",6,2198.16666666667
"1016","1034",6,2940
"1016","1035",7,3929.85714285714
"1016","1036",7,7163.85714285714
"1016","1037",5,4689.2
"1016","1038",4,13301.75
"1016","1039",9,2531.88888888889
"1016","1040",3,7678
"1016","1041",9,4779.11111111111
"1016","1042",1,6797
"1016","1043",8,13158.625
"1016","1044",4,3236
"1016","1045",63,3466.22222222222
"1016","1046",35,2739.57142857143
"1016","1047",25,3538.36
"1016","1048",59,4223.64406779661
"1016","1049",88,3598.76136363636
"1016","1050",37,7639.21621621622
"1016","1061",55,2939.8
"1017","1000",1087,2549.83164673413
"1017","1001",936,2322.82799145299
"1017","1002",120,2210.18333333333
"1017","1003",128,4002.5625
"1017","1004",58,2351.03448275862
"1017","1005",146,2595.13698630137
"1017","1006",164,2768.90853658537
"1017","1007",43,2501.41860465116
"1017","1008",40,8775.825
"1017","1009",208,2403.45673076923
"1017","1010",1271,1763.18174665618
"1017","1011",348,3018.5775862069
"1017","1012",388,3576.60567010309
"1017","1013",535,3434.82803738318
"1017","1014",77,3994.42857142857
"1017","1015",139,4502.87050359712
"1017","1016",211,6082.72037914692
"1017","1017",2184,5973.20879120879
"1017","1018",348,3243.60632183908
"1017","1019",566,2962.62014134276
